Period,OrgCode,OrgName,Type1_Attendance,Type2_Attendance,Other_Attendance,Total_Attendance,Over4hrs_Type1,Wait_4_12hrs,Wait_12plus_hrs,Emergency_Admissions_Type1,Emergency_Admissions_Other,Emergency_Admissions_Total
MSitAE-APRIL-2024,AAH,TETBURY HOSPITAL TRUST LTD,0,0,546,546,0,0,0,0,0,0
MSitAE-APRIL-2024,NNFA7,GOOLE & DISTRICT HOSPITAL,0,0,1577,1577,0,0,0,0,0,0
MSitAE-APRIL-2024,R1F,ISLE OF WIGHT NHS TRUST,4088,0,2006,6094,1779,185,50,1089,0,1089
MSitAE-APRIL-2024,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,12755,0,14697,27452,6154,673,686,6513,0,6513
MSitAE-APRIL-2024,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,7727,516,7501,15744,4606,199,834,1515,0,1515
MSitAE-APRIL-2024,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6991,0,2496,9487,3897,764,398,2453,0,2453
MSitAE-APRIL-2024,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,15343,0,7895,23238,6075,80,22,4589,0,4589
MSitAE-APRIL-2024,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,14264,0,12449,26713,5880,1051,353,6088,331,6419
MSitAE-APRIL-2024,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6813,0,1469,8282,2969,894,142,2739,246,2985
MSitAE-APRIL-2024,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11282,1347,0,12629,3842,387,13,3574,0,3574
MSitAE-APRIL-2024,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10365,767,6320,17452,4172,153,34,2090,0,2090
MSitAE-APRIL-2024,RJ6,CROYDON HEALTH SERVICES NHS TRUST,12926,0,4996,17922,4171,432,558,1380,0,1380
MSitAE-APRIL-2024,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8344,0,3193,11537,2429,492,774,2435,0,2435
MSitAE-APRIL-2024,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8132,0,409,8541,2155,290,17,2297,0,2297
MSitAE-APRIL-2024,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8342,166,4652,13160,5042,548,675,2740,0,2740
MSitAE-APRIL-2024,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11311,1904,7661,20876,5329,267,90,2906,87,2993
MSitAE-APRIL-2024,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,6653,0,1835,8488,2101,505,254,936,0,936
MSitAE-APRIL-2024,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11148,0,8817,19965,3421,626,114,2512,0,2512
MSitAE-APRIL-2024,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7768,0,2645,10413,3746,576,98,2368,0,2368
MSitAE-APRIL-2024,RNZ,SALISBURY NHS FOUNDATION TRUST,4179,350,1880,6409,1707,469,6,1378,0,1378
MSitAE-APRIL-2024,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12754,0,3328,16082,4103,783,168,3995,419,4414
MSitAE-APRIL-2024,RPA,MEDWAY NHS FOUNDATION TRUST,8540,0,6817,15357,2638,414,521,2277,0,2277
MSitAE-APRIL-2024,NNF94,EAST RIDING COMMUNITY HOSPITAL,0,0,2787,2787,0,0,0,0,0,0
MSitAE-APRIL-2024,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,7323,0,1962,9285,3558,583,202,2161,0,2161
MSitAE-APRIL-2024,NNF09,BRANSHOLME HEALTH CENTRE,0,0,3849,3849,0,0,0,0,0,0
MSitAE-APRIL-2024,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,21306,1559,4897,27762,9621,1533,1394,7759,30,7789
MSitAE-APRIL-2024,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4182,0,0,4182,1461,170,24,1866,0,1866
MSitAE-APRIL-2024,RBK,WALSALL HEALTHCARE NHS TRUST,8277,0,3865,12142,2857,852,79,3551,0,3551
MSitAE-APRIL-2024,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,11129,389,8439,19957,6306,903,859,4468,0,4468
MSitAE-APRIL-2024,RCF,AIREDALE NHS FOUNDATION TRUST,5567,264,13,5844,1916,363,119,1479,0,1479
MSitAE-APRIL-2024,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7780,0,5601,13381,3264,737,0,2055,0,2055
MSitAE-APRIL-2024,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12628,0,4569,17197,5703,449,803,3276,138,3414
MSitAE-APRIL-2024,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9929,0,5600,15529,5184,547,663,2722,38,2760
MSitAE-APRIL-2024,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5133,0,1751,6884,2621,344,654,1800,0,1800
MSitAE-APRIL-2024,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,10776,0,5411,16187,3917,575,140,3383,1,3384
MSitAE-APRIL-2024,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,12107,153,474,12734,4679,636,37,4274,0,4274
MSitAE-APRIL-2024,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8482,0,1831,10313,3656,592,574,2189,0,2189
MSitAE-APRIL-2024,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3874,3874,0,0,0,0,0,0
MSitAE-APRIL-2024,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,5637,0,3716,9353,2581,989,1,1644,0,1644
MSitAE-APRIL-2024,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9838,0,0,9838,3220,630,172,3140,0,3140
MSitAE-APRIL-2024,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,6718,6718,0,0,0,0,0,0
MSitAE-APRIL-2024,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,8942,0,4632,13574,5108,1032,413,3458,0,3458
MSitAE-APRIL-2024,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,21378,1812,0,23190,8850,1558,839,6179,0,6179
MSitAE-APRIL-2024,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,17938,0,2136,20074,3182,941,9,5320,0,5320
MSitAE-APRIL-2024,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,14441,1125,8898,24464,6807,1567,409,2695,0,2695
MSitAE-APRIL-2024,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10713,0,2246,12959,6164,452,579,3008,45,3053
MSitAE-APRIL-2024,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,8628,8628,0,0,0,0,0,0
MSitAE-APRIL-2024,C82009,MARKET HARBOROUGH MED.CTR,0,0,296,296,0,0,0,0,0,0
MSitAE-APRIL-2024,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,6887,0,8057,14944,3304,202,462,2145,148,2293
MSitAE-APRIL-2024,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,16864,746,11864,29474,6569,1838,203,3688,0,3688
MSitAE-APRIL-2024,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12328,0,0,12328,5098,308,859,2669,0,2669
MSitAE-APRIL-2024,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2024,RMC,BOLTON NHS FOUNDATION TRUST,7570,0,3317,10887,4055,484,656,2272,63,2335
MSitAE-APRIL-2024,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5212,0,5502,10714,2283,431,118,2261,0,2261
MSitAE-APRIL-2024,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,11690,1659,5200,18549,5019,683,122,3477,0,3477
MSitAE-APRIL-2024,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,23565,3203,11520,38288,11068,3573,623,5256,148,5404
MSitAE-APRIL-2024,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5629,0,6741,12370,2550,302,16,2720,0,2720
MSitAE-APRIL-2024,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7595,0,2639,10234,3922,723,362,2175,0,2175
MSitAE-APRIL-2024,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4751,0,835,5586,1543,320,66,1257,0,1257
MSitAE-APRIL-2024,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6228,0,1182,7410,2119,352,142,2283,0,2283
MSitAE-APRIL-2024,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11828,503,3905,16236,3836,840,20,4125,0,4125
MSitAE-APRIL-2024,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11556,2317,0,13873,4261,722,0,2510,0,2510
MSitAE-APRIL-2024,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,15035,0,489,15524,3943,594,723,4816,0,4816
MSitAE-APRIL-2024,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5028,0,0,5028,859,0,6,990,0,990
MSitAE-APRIL-2024,C83023,SLEAFORD MEDICAL GROUP,0,0,773,773,0,0,0,0,0,0
MSitAE-APRIL-2024,NNJ14,OADBY,0,0,353,353,0,0,0,0,0,0
MSitAE-APRIL-2024,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,7275,0,702,7977,2688,567,531,1968,0,1968
MSitAE-APRIL-2024,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,24552,0,8892,33444,10220,1230,782,7145,454,7599
MSitAE-APRIL-2024,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,9965,803,3105,13873,4851,1470,14,3503,0,3503
MSitAE-APRIL-2024,NLX,SIRONA CARE & HEALTH,0,0,8116,8116,0,0,0,0,0,0
MSitAE-APRIL-2024,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11325,1862,2329,15516,3965,687,0,4141,23,4164
Total ,Total ,Total ,1341059,50804,771286,2163149,534979,92266,42078,398116,4376,402492
MSitAE-APRIL-2024,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2024,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7150,0,5383,12533,3557,1069,516,2087,0,2087
MSitAE-APRIL-2024,RH5,SOMERSET NHS FOUNDATION TRUST,12901,0,9795,22696,4809,433,20,3336,0,3336
MSitAE-APRIL-2024,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1440,1440,0,0,0,0,38,38
MSitAE-APRIL-2024,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,9458,0,12043,21501,3071,79,3,4336,37,4373
MSitAE-APRIL-2024,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7825,0,9064,16889,3915,418,28,2644,98,2742
MSitAE-APRIL-2024,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,10936,323,1477,12736,2995,263,651,1833,0,1833
MSitAE-APRIL-2024,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,12256,0,11721,23977,6442,482,1207,3541,510,4051
MSitAE-APRIL-2024,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,9608,0,10108,19716,6171,1090,693,4148,0,4148
MSitAE-APRIL-2024,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8880,0,6559,15439,4928,175,22,3219,67,3286
MSitAE-APRIL-2024,RWJ,STOCKPORT NHS FOUNDATION TRUST,7129,0,1004,8133,3027,756,308,2388,82,2470
